offsetCenter,vehicle rotation,road rotation,steeringAngle,is_junction
-0.001,-179.75628662109375,-179.92672729492188,-0.0,True
-0.001,-179.75628662109375,-179.92672729492188,-0.0,True
-0.001,-179.75628662109375,-179.92672729492188,-0.0,True
-0.001,-179.75628662109375,-179.92672729492188,-0.0,True
-0.001,-179.75628662109375,-179.92672729492188,-0.0,True
-0.002,-179.75628662109375,-179.92672729492188,-0.0,True
-0.002,-179.75628662109375,-179.92672729492188,-0.0,True
-0.002,-179.75628662109375,-179.92672729492188,-0.0,True
-0.002,-179.75628662109375,-179.92672729492188,-0.0,True
-0.002,-179.75628662109375,-179.92672729492188,-0.0,True
-0.002,-179.75628662109375,-179.92672729492188,-0.0,True
-0.003,-179.75628662109375,-179.92672729492188,-0.0,True
-0.003,-179.75628662109375,-179.92672729492188,-0.0,True
-0.003,-179.75628662109375,-179.92672729492188,-0.0,True
-0.003,-179.75628662109375,-179.92672729492188,-0.0,True
-0.004,-179.75628662109375,-179.92672729492188,-0.0,True
-0.004,-179.75628662109375,-179.92672729492188,-0.0,True
-0.004,-179.75628662109375,-179.92672729492188,-0.0,True
-0.004,-179.75628662109375,-179.92672729492188,-0.0,True
